council_name,tel_phone,ceo_name,postcode,fax,mayor,email,website,address
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3929,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Pyrenees Shire Council,5349 1100,Mr Jim Nolan,3468,5349 2068,Cr Tanya Kehoe,pyrenees@pyrenees.vic.gov.au,www.pyrenees.vic.gov.au,"5 Lawrence Street, BEAUFORT, 5 Lawrence Street, BEAUFORT  3373"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3576,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Ararat Rural City Council,5355 0200,Dr Tim Harrison,3375,5352 1695,Cr Jo Armstrong,council@ararat.vic.gov.au,www.ararat.vic.gov.au,"59 Vincent Street, ARARAT, PO Box 246, ARARAT  3377"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3517,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Benalla Rural City Council,5760 2600,Mr Robert Barber,3670,,Cr Bernie Hearn,council@benalla.vic.gov.au,www.benalla.vic.gov.au,"1 Bridge Street East, BENALLA, PO Box 227, BENALLA  3671"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3225,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3926,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3226,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Manningham City Council,9840 9333,Mr Andrew Day,3106,9848 3110,Cr Deirdre Diamante,manningham@manningham.vic.gov.au,www.manningham.vic.gov.au,"699 Doncaster Road, DONCASTER, PO Box 1, DONCASTER  3108"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3758,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
West Wimmera Shire Council,13 99 72 / 5585 9900,Mr David Bezuidenhout,3412,5585 9950,Cr Tim Meyer,council@westwimmera.vic.gov.au,www.westwimmera.vic.gov.au,"49 Elizabeth Street, EDENHOPE, PO Box 201, EDENHOPE  3318"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3133,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
Baw Baw Shire Council,5624 2411,Mr Cohen Van der Velde,3820,5622 3654,Cr Danny Goss,bawbaw@bawbawshire.vic.gov.au,www.bawbawshire.vic.gov.au,"33 Young Street, DROUIN, PO Box 304, WARRAGUL  3820"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3160,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3788,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3294,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
Wellington Shire Council,1300 366 244,Mr David Morcom,3852,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Hobsons Bay City Council,9932 1000,Ms Kerry Thompson,3016,9932 1039,Cr Daria Kellander,customerservice@hobsonsbay.vic.gov.au,www.hobsonsbay.vic.gov.au,"115 Civic Parade, ALTONA, PO Box 21, ALTONA  3018"
Bayside City Council,9599 4444,Mr Mick Cummins,3190,9598 4474,Cr Hanna El Mouallem,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au,"76 Royal Avenue, SANDRINGHAM, PO Box 27, SANDRINGHAM  3191"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3127,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
Golden Plains Shire Council,5220 7111,Mr Phil Josipovic,3333,5220 7100,Cr Sarah Hayden,enquiries@gplains.vic.gov.au,www.goldenplains.vic.gov.au,"2 Pope Street, BANNOCKBURN, PO Box 111, BANNOCKBURN  3331"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3750,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Central Goldfields Shire Council,5461 0610,Ms Sally Jones,3465,5461 0666,Cr Grace La Vella,mail@cgoldshire.vic.gov.au,www.centralgoldfields.com.au,"12-22 Nolan Street, MARYBOROUGH, PO Box 194, MARYBOROUGH  3465"
Banyule City Council,9490 4222,Ms Allison Beckwith,3088,9499 9475,Cr Elizabeth Nealy,enquiries@banyule.vic.gov.au,www.banyule.vic.gov.au,"1 Flintoff Street, GREENSBOROUGH, PO Box 94, GREENSBOROUGH  3088"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3095,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Melbourne City Council,9658 9658,Ms Alison Leighton,3051,9654 4854,Cr Nicholas Reece,enquiries@melbourne.vic.gov.au,www.melbourne.vic.gov.au,"Town Hall, 120 Swanston St, MELBOURNE, GPO Box 1603, MELBOURNE  3001"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3249,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3533,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Golden Plains Shire Council,5220 7111,Mr Phil Josipovic,3330,5220 7100,Cr Sarah Hayden,enquiries@gplains.vic.gov.au,www.goldenplains.vic.gov.au,"2 Pope Street, BANNOCKBURN, PO Box 111, BANNOCKBURN  3331"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3274,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3283,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3878,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Moira Shire Council,5871 9222,Mr Matthew Morgan,3730,5872 1567,Dr Graeme Emonson PSM,info@moira.vic.gov.au,www.moira.vic.gov.au,"44 Station Street, COBRAM, PO Box 578, COBRAM  3643"
Corangamite Shire Council,5593 7100,Mr David Rae,3266,5593 2695,Cr Kate Makin,shire@corangamite.vic.gov.au,www.corangamite.vic.gov.au,"181 Maniford Street, CAMPERDOWN, PO Box 84, CAMPERDOWN  3260"
Brimbank City Council,9249 4000,Ms Fiona Blair,3021,9249 4351,Cr Thuy Dang,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,"Brimbank Community & Civic Centre, 301 Hampshire Rd, SUNSHINE, PO Box 70, SUNSHINE  3020"
Hume City Council,9205 2200,Ms Sheena Frost,3036,9309 0109,Cr Jarrod Bell,contactus@hume.vic.gov.au,www.hume.vic.gov.au,"1079 Pascoe Vale Road, BROADMEADOWS, PO Box 119, DALLAS  3047"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3880,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3544,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Indigo Shire Council,5728 8000,Mr Trevor Ierino,3695,,Cr Sophie Price,info@indigoshire.vic.gov.au,www.indigoshire.vic.gov.au,"2 Kurrajong Way, BEECHWORTH, PO Box 28, BEECHWORTH  3747"
Glenelg Shire Council,1300 453 635,Ms Helen Havercroft,3305,,Cr Karen Stephens,enquiry@glenelg.vic.gov.au,www.glenelg.vic.gov.au,"71 Cliff Street, PORTLAND, PO Box 152, PORTLAND  3305"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3265,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Melton City Council,9747 7200,Ms Roslyn Wai,3336,9743 9970,Cr Steve Abboushi,csu@melton.vic.gov.au,www.melton.vic.gov.au,"232 High Street, MELTON, PO Box 21, MELTON  3337"
Brimbank City Council,9249 4000,Ms Fiona Blair,3037,9249 4351,Cr Thuy Dang,info@brimbank.vic.gov.au,www.brimbank.vic.gov.au,"Brimbank Community & Civic Centre, 301 Hampshire Rd, SUNSHINE, PO Box 70, SUNSHINE  3020"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3089,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3762,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Yarra Ranges Shire Council,1300 368 333,Ms Tammi Rose,3767,,Cr Jim Child,mail@yarraranges.vic.gov.au,www.yarraranges.vic.gov.au,"15 Anderson Street, LILYDALE, PO Box 105, LILYDALE  3140"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3097,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3928,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3882,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Melbourne City Council,9658 9658,Ms Alison Leighton,3054,9654 4854,Cr Nicholas Reece,enquiries@melbourne.vic.gov.au,www.melbourne.vic.gov.au,"Town Hall, 120 Swanston St, MELBOURNE, GPO Box 1603, MELBOURNE  3001"
East Gippsland Shire Council,5153 9500,Ms Fiona Weigall,3891,,Cr John White,feedback@egipps.vic.gov.au,www.eastgippsland.vic.gov.au,"273 Main Street, BAIRNSDALE, PO Box 1618, BAIRNSDALE  3875"
Hindmarsh Shire Council,5391 4444,Ms Monica Revell,3414,5391 1376,Cr Ron Ismay,info@hindmarsh.vic.gov.au,www.hindmarsh.vic.gov.au,"92 Nelson Street, NHILL, PO Box 250 , NHILL  3418"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3931,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3287,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Kingston City Council,1300 653 356,Mr Peter Bean,3172,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Surf Coast Shire Council,5261 0600,Ms Robyn Seymour,3231,5261 0525,Cr Mike Bodsworth,info@surfcoast.vic.gov.au,www.surfcoast.vic.gov.au,"1 Merrijig Drive, TORQUAY, PO Box 350, TORQUAY  3228"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3919,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Gannawarra Shire Council,5450 9333,Mr Geoff Rollinson,3540,5450 3023,Cr Garner Smith,council@gsc.vic.gov.au,www.gsc.vic.gov.au,"47 Victoria Street, KERANG, PO Box 287, KERANG  3579"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3516,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3583,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
South Gippsland Shire Council,5662 9200,Allison Jones,3950,,Cr John Schelling,council@southgippsland.vic.gov.au,www.southgippsland.vic.gov.au,"9 Smith Street, LEONGATHA, Private Bag 4, LEONGATHA  3953"
Gannawarra Shire Council,5450 9333,Mr Geoff Rollinson,3580,5450 3023,Cr Garner Smith,council@gsc.vic.gov.au,www.gsc.vic.gov.au,"47 Victoria Street, KERANG, PO Box 287, KERANG  3579"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3571,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3945,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
Wellington Shire Council,1300 366 244,Mr David Morcom,3971,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Macedon Ranges Shire Council,5422 0333,Mr Bernie O'Sullivan,3435,5422 3623,Cr Dominic Bonanno,mrsc@mrsc.vic.gov.au,www.mrsc.vic.gov.au,"129 Mollison Street, KYNETON, PO Box 151, KYNETON  3444"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3751,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Campaspe Shire Council,5481 2200,Ms Pauline Gordon,3566,5481 2290,Cr Daniel Mackrell,shire@campaspe.vic.gov.au,www.campaspe.vic.gov.au,"Cnr Hare & Heygarth Streets, ECHUCA, PO Box 35, ECHUCA  3564"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3277,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Strathbogie Shire Council,5795 0000,Mr Tim Tamlin,3669,5795 3550,Cr Claire Ewart-Kennedy,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,"109A Binney Street, EUROA, PO Box 177, EUROA  3666"
Northern Grampians Shire Council,5358 8700,Mr Brent McAlister,3384,,Cr Karen Hyslop,ngshire@ngshire.vic.gov.au,www.ngshire.vic.gov.au,"59-69 Main Street , STAWELL, PO Box 580, STAWELL  3380"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3714,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
Wellington Shire Council,1300 366 244,Mr David Morcom,3854,5142 3501,Cr Scott Rossetti,enquiries@wellington.vic.gov.au,www.wellington.vic.gov.au,"18 Desailly Street, SALE, PO Box 506, SALE  3850"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3764,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Mitchell Shire Council,5734 6200,Ms Mary Agostino,3659,5734 6222,Cr John Dougall,mitchell@mitchellshire.vic.gov.au,www.mitchellshire.vic.gov.au,"113 High Street, BROADFORD, 113 High Street, BROADFORD  3658"
Whittlesea City Council,9217 2170,Mr Craig Lloyd,3757,9409 9800,Cr Aidan McLindon,info@whittlesea.vic.gov.au,www.whittlesea.vic.gov.au,"25 Ferres Boulevard, SOUTH MORANG, Locked Bag 1, BUNDOORA MDC  3083"
Boroondara City Council,9278 4444,Mr Phillip Storer,3102,9278 4466,Cr Sophie Torney,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,"8 Inglesby Road, CAMBERWELL, Private Bag 1, CAMBERWELL  3124"
Loddon Shire Council,5494 1200,Mr Lincoln Fitzgerald,3575,5494 3003,Cr Dan Straub,loddon@loddon.vic.gov.au,www.loddon.vic.gov.au,"41 High Street, WEDDERBURN, PO Box 21, WEDDERBURN  3518"
Gannawarra Shire Council,5450 9333,Mr Geoff Rollinson,3567,5450 3023,Cr Garner Smith,council@gsc.vic.gov.au,www.gsc.vic.gov.au,"47 Victoria Street, KERANG, PO Box 287, KERANG  3579"
Strathbogie Shire Council,5795 0000,Mr Tim Tamlin,3663,5795 3550,Cr Claire Ewart-Kennedy,info@strathbogie.vic.gov.au,www.strathbogie.vic.gov.au,"109A Binney Street, EUROA, PO Box 177, EUROA  3666"
Murrindindi Shire Council,5772 0333,Ms Livia Bonazzi,3717,5772 2291,Cr Damien Gallagher,msc@murrindindi.vic.gov.au,www.murrindindi.vic.gov.au,"28 Perkins Street, ALEXANDRA, PO Box 138, ALEXANDRA  3714"
,,,3487,,,,,
Glen Eira City Council,9524 3333,Ms Rebecca McKenzie,3162,9523 0339,Cr Simone Zmood,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au,"Cnr Glen Eira & Hawthorn Rds, CAULFIELD SOUTH, PO Box 42, CAULFIELD SOUTH  3162"
Buloke Shire Council,1300 520 520,Mr Wayne O'Toole,3483,5493 7395,Cr Alan Getley,buloke@buloke.vic.gov.au,www.buloke.vic.gov.au,"367 Broadway, WYCHEPROOF, PO Box 1, WYCHEPROOF  3527"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3599,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3991,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
Mornington Peninsula Shire Council,1300 850 600,Mr Bulent Oz,3937,5986 6696,Cr Anthony Marsh,customerservice@mornpen.vic.gov.au,www.mornpen.vic.gov.au,"90 Besgrove Street, ROSEBUD, Private Bag 1000, ROSEBUD  3939"
Benalla Rural City Council,5760 2600,Mr Robert Barber,3725,,Cr Bernie Hearn,council@benalla.vic.gov.au,www.benalla.vic.gov.au,"1 Bridge Street East, BENALLA, PO Box 227, BENALLA  3671"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3698,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Greater Dandenong City Council,8571 1000,Ms Jacqui Weatherill,3174,8571 5196,Cr Jim Memeti,council@cgd.vic.gov.au,www.greaterdandenong.com,"225 Lonsdale Street, DANDENONG, PO Box 200, DANDENONG  3175"
Whitehorse City Council,9262 6333,Mr Simon McMillan,3151,9262 6490,Cr Andrew Davenport,customer.service@whitehorse.vic.gov.au,www.whitehorse.vic.gov.au,"379-399 Whitehorse Road, NUNAWADING, Locked Bag 2, NUNAWADING  3131"
Greater Bendigo City Council,1300 002 642,Mr Andrew Cooney,3570,,Cr Andrea Metcalf,requests@bendigo.vic.gov.au,www.bendigo.vic.gov.au,"Galkangu–Bendigo GovHub, 189–229 Lyttleton Terrace, BENDIGO, PO Box 733, BENDIGO  3552"
Cardinia Shire Council,1300 787 624,Ms Carol Jeffs,3782,,Cr Jack Kowarzik,mail@cardinia.vic.gov.au,www.cardinia.vic.gov.au,"20 Siding Avenue, OFFICER, PO Box 7, PAKENHAM  3810"
Alpine Shire Council,5755 0555,Mr Will Jeremy,3738,5755 1811,Cr Sarah Nicholas,info@alpineshire.vic.gov.au,www.alpineshire.vic.gov.au,"Great Alpine Road, BRIGHT, PO Box 139, BRIGHT  3741"
Melbourne City Council,9658 9658,Ms Alison Leighton,3006,9654 4854,Cr Nicholas Reece,enquiries@melbourne.vic.gov.au,www.melbourne.vic.gov.au,"Town Hall, 120 Swanston St, MELBOURNE, GPO Box 1603, MELBOURNE  3001"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3273,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Southern Grampians Shire Council,5573 0444,Mr Tony Doyle,3302,,Cr Dennis Heslin,council@sthgrampians.vic.gov.au,www.sthgrampians.vic.gov.au,"111 Brown Street, HAMILTON, Locked Bag 685, HAMILTON  3300"
Colac Otway Shire Council,5232 9400,Ms Anne Howard,3243,5232 1046,Cr Jason Schram,inq@colacotway.vic.gov.au,www.colacotway.vic.gov.au,"2-6 Rae Street, COLAC, PO Box 283, COLAC  3250"
Moyne Shire Council,5568 0555,Mr Mark Eversteyn,3282,5568 2515,Cr Karen Foster,moyne@moyne.vic.gov.au,www.moyne.vic.gov.au,"Princes Street, PORT FAIRY, PO Box 51, PORT FAIRY  3284"
Greater Geelong City Council,5272 5272,Ms Ali Wastie ,3213,,Cr Dr Stretch Kontelj,COGGRecords@geelongcity.vic.gov.au,www.geelongaustralia.com.au,"Wurriki Nyal, 137-149 Mercer Street, GEELONG, PO Box 104, GEELONG  3220"
Darebin City Council,8470 8888,Mr Michael Tudball,3071,,Cr Kristine Olaris,mailbox@darebin.vic.gov.au,www.darebin.vic.gov.au,"274 Gower Street, PRESTON, PO Box 91, PRESTON  3072"
,,,3391,,,,,
Glen Eira City Council,9524 3333,Ms Rebecca McKenzie,3163,9523 0339,Cr Simone Zmood,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au,"Cnr Glen Eira & Hawthorn Rds, CAULFIELD SOUTH, PO Box 42, CAULFIELD SOUTH  3162"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3509,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Boroondara City Council,9278 4444,Mr Phillip Storer,3122,9278 4466,Cr Sophie Torney,boroondara@boroondara.vic.gov.au,www.boroondara.vic.gov.au,"8 Inglesby Road, CAMBERWELL, Private Bag 1, CAMBERWELL  3124"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3512,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3496,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3494,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3501,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Kingston City Council,1300 653 356,Mr Peter Bean,3192,9581 4500,Cr Georgina Oxley,info@kingston.vic.gov.au,www.kingston.vic.gov.au,"1230 Nepean Highway, CHELTENHAM, PO Box 1000, MENTONE  3194"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3058,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Bayside City Council,9599 4444,Mr Mick Cummins,3193,9598 4474,Cr Hanna El Mouallem,enquiries@bayside.vic.gov.au,www.bayside.vic.gov.au,"76 Royal Avenue, SANDRINGHAM, PO Box 27, SANDRINGHAM  3191"
Merri-bek City Council,9240 1111,Ms Cathy Henderson,3060,,Cr Helen Davidson,info@merri-bek.vic.gov.au,www.merri-bek.vic.gov.au,"90 Bell Street, COBURG, Locked Bag 10, BRUNSWICK  3056"
Bass Coast Shire Council,1300 BCOAST (226278),Mr Greg Box,3990,5671 2222,Cr Rochelle Halstead,basscoast@basscoast.vic.gov.au,www.basscoast.vic.gov.au,"76 McBride Avenue, WONTHAGGI, PO Box 118, WONTHAGGI  3995"
Mildura Rural City Council,5018 8100,Mr Martin Hawson,3507,5021 1899,Cr Helen Healy,mrcc@mildura.vic.gov.au,www.mildura.vic.gov.au,"108-116 Madden Avenue, MILDURA, PO Box 105, MILDURA  3502"
Glen Eira City Council,9524 3333,Ms Rebecca McKenzie,3161,9523 0339,Cr Simone Zmood,mail@gleneira.vic.gov.au,www.gleneira.vic.gov.au,"Cnr Glen Eira & Hawthorn Rds, CAULFIELD SOUTH, PO Box 42, CAULFIELD SOUTH  3162"
Swan Hill Rural City Council,5036 2333,Mr Scott Barber,3546,5036 2340,Cr Stuart King,council@swanhill.vic.gov.au,www.swanhill.vic.gov.au,"45 Splatt Street, SWAN HILL, PO Box 488, SWAN HILL  3585"
Nillumbik Shire Council,9433 3111,Mr Carl Cowie,3760,,Cr John Dumaresq,nillumbik@nillumbik.vic.gov.au,www.nillumbik.vic.gov.au,"Civic Drive, GREENSBOROUGH, PO Box 476, GREENSBOROUGH  3088"
